timestamp,agv_id,battery_voltage_v,battery_current_a,battery_temp_c,battery_soh,battery_charge_cycles,nav_position_x_m,nav_position_y_m,nav_heading_error_deg,nav_localization_conf,nav_path_deviation_m,drive_motor_current_a,drive_speed_ms,drive_vib_rms_g,drive_encoder_count,mech_bearing_vib_g,mech_bearing_temp_c,mech_brake_resp_ms,mech_wheel_diam_mm,safety_estop_resp_ms,safety_lidar_return_rate,safety_camera_fps,safety_bumper_sens_n
2026-08-13 06:00:00,AGV-004,24.82,0.0,24.83,0.897,146,44.021,11.941,0.001,0.9824,0.0153,9.601,1.405,0.2078,84,0.5,51.8,102.2,200.195,33.9,0.9656,30.2,4.63
2026-08-13 06:00:05,AGV-004,25.642,2.227,21.29,0.897,146,43.596,11.356,0.14,0.9241,0.0047,13.692,1.186,0.1604,182,0.5,47.23,101.8,200.415,32.8,0.9738,29.8,4.8
2026-08-13 06:00:10,AGV-004,24.487,5.221,23.22,0.897,146,43.097,10.785,1.556,0.95,0.0073,9.625,1.132,0.1414,301,0.0,46.65,95.4,200.245,24.9,0.9789,29.8,4.98
2026-08-13 06:00:15,AGV-004,25.631,2.386,27.34,0.897,146,42.526,10.231,-0.004,0.9277,0.0111,14.024,1.316,0.0929,415,0.0,47.32,107.2,200.21,26.2,0.9567,29.4,4.51
2026-08-13 06:00:20,AGV-004,23.931,0.0,19.92,0.897,146,41.887,9.695,-0.348,0.9635,0.0197,12.122,1.326,0.1219,528,0.0,37.96,103.0,199.001,33.4,0.9594,30.0,4.87
2026-08-13 06:00:25,AGV-004,21.953,3.547,28.71,0.897,146,41.18,9.181,0.24,0.9355,0.0077,13.071,1.244,0.1563,637,0.5,45.96,107.5,200.553,31.0,0.9686,29.7,4.94
2026-08-13 06:00:30,AGV-004,25.21,3.659,21.88,0.897,146,40.41,8.69,0.367,0.9508,0.0196,11.615,1.271,0.1146,736,0.5,47.73,109.6,198.873,27.7,0.9578,30.6,5.1
2026-08-13 06:00:35,AGV-004,24.484,1.782,24.17,0.897,146,39.579,8.223,0.15,0.9235,0.0185,12.785,1.255,0.1024,827,0.0,45.25,83.0,200.508,29.0,0.9576,29.1,5.18
2026-08-13 06:00:40,AGV-004,23.863,2.503,27.0,0.897,146,38.691,7.783,0.078,0.9758,0.0087,12.475,1.101,0.152,942,0.5,44.87,105.5,200.05,33.3,0.9658,29.5,5.12
2026-08-13 06:00:45,AGV-004,23.947,1.602,27.8,0.897,146,37.748,7.372,0.741,0.9515,0.0353,11.942,1.078,0.1733,1044,0.5,42.18,89.7,200.418,34.6,0.9799,29.5,5.54
2026-08-13 06:00:50,AGV-004,24.942,3.657,24.88,0.897,146,36.756,6.991,0.679,0.9528,0.0068,10.402,1.195,0.1426,1139,0.5,43.7,102.0,200.079,30.0,0.9797,30.1,5.33
2026-08-13 06:00:55,AGV-004,23.456,2.958,21.82,0.897,146,35.717,6.641,-0.059,0.9666,0.0312,12.538,1.18,0.1769,1257,0.5,42.5,99.4,200.522,27.9,0.9732,30.6,5.07
2026-08-13 06:01:00,AGV-004,24.904,1.124,21.59,0.897,146,34.635,6.325,-0.322,0.925,0.0,9.274,1.228,0.1685,1351,0.5,48.0,99.8,200.008,29.2,0.9718,30.3,4.71
2026-08-13 06:01:05,AGV-004,25.893,2.859,22.14,0.897,146,33.516,6.042,0.215,0.9377,0.0186,13.397,1.187,0.1845,1432,0.5,49.51,90.4,200.14,34.0,0.9909,29.5,4.8
2026-08-13 06:01:10,AGV-004,26.954,1.774,28.6,0.897,146,32.362,5.795,-0.325,0.9534,0.008,12.295,1.03,0.2152,1536,0.5,50.81,108.2,200.202,34.0,0.9646,29.8,4.57
2026-08-13 06:01:15,AGV-004,26.156,5.065,22.64,0.897,146,31.18,5.585,0.443,0.9148,0.0135,12.696,0.989,0.2284,1633,0.17953,42.45,89.7,200.939,30.6,0.9724,29.6,5.05
2026-08-13 06:01:20,AGV-004,24.644,4.214,24.49,0.897,146,29.974,5.411,0.212,0.9169,0.0381,8.075,1.274,0.172,1737,0.5,42.99,106.0,200.3,28.4,0.9641,30.3,5.1
2026-08-13 06:01:25,AGV-004,24.76,2.69,20.91,0.897,146,28.748,5.275,1.335,0.9336,0.0165,10.311,1.134,0.1362,1841,0.0,42.75,88.5,199.342,33.2,0.9571,29.8,5.27
2026-08-13 06:01:30,AGV-004,23.96,2.995,20.61,0.897,146,27.507,5.178,0.737,0.9272,0.009,11.241,1.177,0.1519,1946,0.26222,41.94,99.9,199.718,34.9,0.9818,29.3,5.08
2026-08-13 06:01:35,AGV-004,23.88,4.394,23.71,0.897,146,26.256,5.12,-0.539,0.9431,0.0249,13.011,1.144,0.1972,2039,0.5,41.99,114.4,200.299,25.6,0.9669,30.3,5.32
